Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697657410,1,,Aggregated,327.000000,322.500000,2,2,2,3,3,4,6,8,29,34,41,41703,41208,2,2.3991890681130683,1.033250242471695,40.671625174582005,0.15430544565139198
1697657411,1,,Aggregated,325.700000,321.200000,2,2,2,3,3,4,6,8,29,34,41,42118,41623,2,2.398478419542648,1.033250242471695,40.671625174582005,0.15278503252766037
1697657412,1,,Aggregated,331.400000,326.900000,2,2,2,3,3,4,6,8,29,34,41,42541,42046,2,2.3972571030305017,1.033250242471695,40.671625174582005,0.1512658376624903
1697657413,1,,Aggregated,334.000000,329.500000,2,2,2,3,3,4,6,8,29,34,41,42961,42466,2,2.3962452792258855,1.033250242471695,40.671625174582005,0.14978701613090942
1697657414,1,,Aggregated,344.800000,340.300000,2,2,2,3,3,4,6,8,29,34,41,43381,42886,2,2.3952340191940227,1.033250242471695,40.671625174582005,0.1483368294875637
1697657415,1,,Aggregated,356.100000,351.600000,2,2,2,3,3,4,6,8,29,34,41,43751,43256,2,2.3969583977656264,1.033250242471695,40.671625174582005,0.14708235240337364
1697657416,1,,Aggregated,372.900000,368.400000,2,2,2,3,3,4,6,8,29,34,41,44123,43615,2,2.3985637700438427,1.033250242471695,40.671625174582005,0.1496725064025565
1697657417,1,,Aggregated,381.500000,377.000000,2,2,2,3,3,4,6,8,29,34,41,44463,43923,2,2.4018653679795023,1.033250242471695,40.671625174582005,0.1578840833951825
1697657418,1,,Aggregated,377.700000,373.200000,2,2,2,3,3,4,6,8,29,34,41,44878,44338,2,2.4010978510544456,1.033250242471695,40.671625174582005,0.15642408306965552
1697657419,1,,Aggregated,378.200000,373.700000,2,2,2,3,3,4,6,8,29,34,41,45285,44745,2,2.400732794635683,1.033250242471695,40.671625174582005,0.15501821795296455
1697657420,1,,Aggregated,380.200000,375.700000,2,2,2,3,3,4,6,8,29,34,41,45681,45141,2,2.4009191498118936,1.033250242471695,40.671625174582005,0.15367439416825376
1697657421,1,,Aggregated,388.800000,384.300000,2,2,2,3,3,4,6,8,29,34,41,46077,45537,2,2.4013419787165997,1.033250242471695,40.671625174582005,0.15235366885864965
1697657422,1,,Aggregated,394.200000,389.700000,2,2,2,3,3,4,6,8,29,34,41,46476,45936,2,2.401353046915222,1.033250242471695,40.671625174582005,0.15104570100697134
1697657423,1,,Aggregated,396.500000,392.000000,2,2,2,3,3,4,6,8,29,34,41,46859,46319,2,2.402233618822113,1.033250242471695,40.671625174582005,0.14981113553426237
1697657424,1,,Aggregated,395.400000,390.900000,2,2,2,3,3,4,6,8,29,34,41,47190,46650,2,2.4057250718196763,1.033250242471695,40.671625174582005,0.1487603305785124
1697657425,1,,Aggregated,388.900000,384.400000,2,2,2,3,3,4,6,8,29,34,41,47507,46967,2,2.4090786817872685,1.033250242471695,40.671625174582005,0.1477676973919633
1697657426,1,,Aggregated,382.900000,378.400000,2,2,2,3,3,4,6,8,29,34,41,47891,47337,2,2.41046019476599,1.033250242471695,40.671625174582005,0.15038316176317054
1697657427,1,,Aggregated,375.500000,371.000000,2,2,2,3,3,4,6,8,29,34,41,48303,47718,2,2.4098269422369003,1.033250242471695,40.671625174582005,0.15744363704117756
1697657428,1,,Aggregated,376.200000,371.700000,2,2,2,3,3,4,6,8,29,34,41,48708,48123,2,2.40927623796569,1.033250242471695,40.671625174582005,0.15613451589061345
1697657429,1,,Aggregated,378.600000,374.100000,2,2,2,3,3,4,6,8,29,34,41,49092,48507,2,2.4099952924619017,1.033250242471695,40.671625174582005,0.15491322415057443
1697657430,1,,Aggregated,382.600000,378.100000,2,2,2,3,3,4,6,8,29,34,41,49513,48928,2,2.4090428825677663,1.033250242471695,40.671625174582005,0.15359602528628846
1697657431,1,,Aggregated,381.100000,376.600000,2,2,2,3,3,4,6,8,30,34,41,49927,49342,2,2.408399700645113,1.033250242471695,40.671625174582005,0.15232239069040798
1697657432,1,,Aggregated,380.900000,376.400000,2,2,2,3,3,4,6,8,29,34,41,50273,49688,2,2.410931892241322,1.033250242471695,40.671625174582005,0.1512740437212818
1697657433,1,,Aggregated,382.600000,378.100000,2,2,2,3,3,4,6,8,30,34,41,50650,50065,2,2.4120546870396966,1.033250242471695,40.671625174582005,0.15014807502467917
1697657434,1,,Aggregated,380.400000,375.900000,2,2,2,3,3,4,6,8,29,34,41,51035,50450,2,2.41272225459552,1.033250242471695,40.671625174582005,0.14901538160086214
1697657435,1,,Aggregated,379.200000,374.700000,2,2,2,3,3,4,6,8,29,34,41,51417,50832,2,2.4135112012748907,1.033250242471695,40.671625174582005,0.14790827936285664
1697657436,1,,Aggregated,382.100000,377.600000,2,2,2,3,3,4,6,8,30,34,41,51804,51201,2,2.4140986381691896,1.033250242471695,40.671625174582005,0.15132036136205698
1697657437,1,,Aggregated,388.000000,383.500000,2,2,2,3,3,4,6,8,29,34,41,52193,51563,2,2.4145498664351015,1.033250242471695,40.671625174582005,0.15691759431341368
1697657438,1,,Aggregated,389.400000,384.900000,2,2,2,3,3,4,6,8,29,34,41,52628,51998,2,2.412887369647442,1.033250242471695,40.671625174582005,0.15562058219958957
1697657439,1,,Aggregated,390.700000,386.200000,2,2,2,3,3,4,6,8,29,34,41,53027,52397,2,2.4129106419267643,1.033250242471695,40.671625174582005,0.15444962000490317
1697657440,1,,Aggregated,390.200000,385.700000,2,2,2,3,3,4,6,8,29,34,41,53433,52803,2,2.4122305376954687,1.033250242471695,40.671625174582005,0.15327606535287183
1697657441,1,,Aggregated,391.700000,387.200000,2,2,2,3,3,4,6,8,30,34,41,53847,53217,2,2.4115985064248826,1.033250242471695,40.671625174582005,0.15209760989470164
1697657442,1,,Aggregated,391.300000,386.800000,2,2,2,3,3,4,6,8,30,34,41,54261,53631,2,2.4109462018164183,1.033250242471695,40.671625174582005,0.15093713717034335
1697657443,1,,Aggregated,392.000000,387.500000,2,2,2,3,3,4,6,8,30,34,41,54699,54069,2,2.4092344244837425,1.033250242471695,40.671625174582005,0.1497285142324357
1697657444,1,,Aggregated,394.900000,390.400000,2,2,2,3,3,4,6,8,30,34,41,55105,54475,2,2.4089618865797724,1.033250242471695,40.671625174582005,0.14862535160148807
1697657445,1,,Aggregated,401.900000,397.400000,2,2,2,3,3,4,6,8,30,34,41,55509,54879,2,2.408759266555644,1.033250242471695,40.671625174582005,0.14754364157163702
1697657446,1,,Aggregated,405.300000,400.800000,2,2,2,3,3,4,6,8,30,34,41,55932,55282,2,2.4077852773209374,1.033250242471695,40.671625174582005,0.15107630694414648
1697657447,1,,Aggregated,408.200000,403.700000,2,2,2,3,3,4,6,8,30,34,41,56348,55673,2,2.407092163960051,1.033250242471695,40.671625174582005,0.155728686022574
1697657448,1,,Aggregated,411.600000,407.100000,2,2,2,3,3,4,6,8,30,34,41,56766,56091,2,2.406190287627489,1.033250242471695,40.671625174582005,0.1545819680794842
1697657449,1,,Aggregated,414.000000,409.500000,2,2,2,3,3,4,6,8,30,34,41,57184,56509,2,2.4054176501135505,1.033250242471695,40.671625174582005,0.15345201454952434
1697657450,1,,Aggregated,414.400000,409.900000,2,2,2,3,3,4,6,8,30,34,41,57587,56912,2,2.405308152851701,1.033250242471695,40.671625174582005,0.15237814089985588
1697657451,1,,Aggregated,415.400000,410.900000,2,2,2,3,3,4,6,8,30,34,41,58033,57358,2,2.403503217739901,1.033250242471695,40.671625174582005,0.15120707183843676
1697657452,1,,Aggregated,415.500000,411.000000,2,2,2,3,3,4,6,8,30,34,41,58445,57770,2,2.40302344941738,1.033250242471695,40.671625174582005,0.15014115835400804
1697657453,1,,Aggregated,416.000000,411.500000,2,2,2,3,3,4,6,8,30,34,41,58878,58203,2,2.401723108099706,1.033250242471695,40.671625174582005,0.14903699174564353
1697657454,1,,Aggregated,417.900000,413.400000,2,2,2,3,3,4,6,8,30,34,41,59290,58615,2,2.4012858807716406,1.033250242471695,40.671625174582005,0.1480013493000506
1697657455,1,,Aggregated,419.100000,414.600000,2,2,2,3,3,4,6,8,30,34,41,59701,59026,2,2.400869182261781,1.033250242471695,40.671625174582005,0.1469824626053165
1697657456,1,,Aggregated,417.400000,412.900000,2,2,2,3,3,4,6,8,30,34,41,60132,59434,2,2.3997183859258837,1.033250242471695,40.671625174582005,0.15090135036253574
1697657457,1,,Aggregated,418.100000,413.600000,2,2,2,3,3,4,6,8,30,34,41,60553,59833,2,2.398953429131924,1.033250242471695,40.671625174582005,0.15457533070202964
1697657458,1,,Aggregated,419.500000,415.000000,2,2,2,3,3,4,6,8,30,34,41,60959,60239,2,2.3983169941692357,1.033250242471695,40.671625174582005,0.15354582588297053
1697657459,1,,Aggregated,419.200000,414.700000,2,2,2,3,3,4,6,8,30,34,41,61360,60640,2,2.3983281026831116,1.033250242471695,40.671625174582005,0.15254237288135594
1697657460,1,,Aggregated,419.600000,415.100000,2,2,2,3,3,4,6,8,30,34,41,61774,61054,2,2.397891861967125,1.033250242471695,40.671625174582005,0.15152005698190177
1697657461,1,,Aggregated,417.400000,412.900000,2,2,2,3,3,4,6,8,30,34,41,62217,61497,2,2.3963160110272574,0.9917505085468292,40.671625174582005,0.15044119774338202
1697657462,1,,Aggregated,418.100000,413.600000,2,2,2,3,3,4,6,8,30,34,41,62618,61898,2,2.3963134222403926,0.9917505085468292,40.671625174582005,0.14947778594014502
1697657463,1,,Aggregated,418.100000,413.600000,2,2,2,3,3,4,6,8,30,34,41,63045,62325,2,2.395377390308827,0.9917505085468292,40.671625174582005,0.14846538187009278
1697657464,1,,Aggregated,416.600000,412.100000,2,2,2,3,3,4,6,8,30,34,41,63461,62741,2,2.394853200363057,0.9917505085468292,40.671625174582005,0.14749216053954398
1697657465,1,,Aggregated,416.700000,412.200000,2,2,2,3,3,4,6,8,30,34,41,63887,63167,2,2.3939118377126967,0.9917505085468292,40.671625174582005,0.14650867938704273
1697657466,1,,Aggregated,417.000000,412.500000,2,2,2,3,3,4,6,8,30,34,41,64309,63562,2,2.393207415838973,0.9917505085468292,40.671625174582005,0.1510053025237525
1697657467,1,,Aggregated,417.300000,412.700000,2,2,2,2,3,4,6,8,30,34,41,64735,63970,2,2.3923037687637794,0.9917505085468292,40.671625174582005,0.15362632270023943
1697657468,1,,Aggregated,416.800000,412.300000,2,2,2,2,3,4,6,8,30,34,41,65148,64383,2,2.391931362977455,0.9917505085468292,40.671625174582005,0.15265242217719655
1697657469,1,,Aggregated,417.200000,412.700000,2,2,2,2,3,4,6,8,30,34,41,65564,64799,2,2.3914398151763443,0.9917505085468292,40.671625174582005,0.15168385089378317
1697657470,1,,Aggregated,418.800000,414.300000,2,2,2,2,3,4,6,8,30,34,41,65982,65217,2,2.390913485754422,0.9917505085468292,40.671625174582005,0.15072292443393653
1697657471,1,,Aggregated,419.900000,415.400000,2,2,2,2,3,4,6,8,30,34,41,66406,65641,2,2.3901641663356092,0.9917505085468292,40.671625174582005,0.1497605638044755
1697657472,1,,Aggregated,419.900000,415.400000,2,2,2,2,3,4,6,8,30,34,41,66833,66068,2,2.3892850779392587,0.9917505085468292,40.671625174582005,0.14880373468196847
1697657473,1,,Aggregated,419.700000,415.200000,2,2,2,2,3,4,6,8,30,34,41,67258,66493,2,2.3884924934464844,0.9917505085468292,40.671625174582005,0.14786345118796276
1697657474,1,,Aggregated,419.600000,415.100000,2,2,2,2,3,4,6,8,30,34,41,67667,66902,2,2.3883162042117005,0.9917505085468292,40.671625174582005,0.14696971936098838
1697657475,1,,Aggregated,420.200000,415.700000,2,2,2,2,3,4,6,8,30,34,41,68087,67322,2,2.387754964487975,0.9917505085468292,40.671625174582005,0.14606312511933262
1697657476,1,,Aggregated,420.500000,416.000000,2,2,2,2,3,4,6,8,30,34,41,68513,67719,2,2.3869818497124604,0.9917505085468292,40.671625174582005,0.15065753944506882
1697657477,1,,Aggregated,421.000000,416.600000,2,2,2,2,3,4,6,8,30,34,41,68951,68141,2,2.3857800456151885,0.9917505085468292,40.671625174582005,0.15271714695943497
1697657478,1,,Aggregated,420.700000,416.200000,2,2,2,2,3,4,6,8,30,34,41,69367,68557,2,2.3853595075729257,0.9917505085468292,40.671625174582005,0.1518012887972667
1697657479,1,,Aggregated,420.600000,416.100000,2,2,2,2,3,4,6,8,30,34,41,69781,68971,2,2.385029504204706,0.9917505085468292,40.671625174582005,0.15090067496883106
1697657480,1,,Aggregated,419.800000,415.300000,2,2,2,2,3,4,6,8,30,33,41,70198,69388,2,2.3845740428370115,0.9917505085468292,40.671625174582005,0.15000427362602922
1697657481,1,,Aggregated,420.400000,415.900000,2,2,2,2,3,4,6,8,30,33,41,70632,69822,2,2.3835811776976437,0.9917505085468292,40.671625174582005,0.14908256880733944
1697657482,1,,Aggregated,422.800000,418.300000,2,2,2,2,3,4,6,8,29,33,41,71061,70251,2,2.382739703789884,0.9917505085468292,40.671625174582005,0.14818254738886308
1697657483,1,,Aggregated,421.800000,417.300000,2,2,2,2,3,4,6,8,30,33,41,71478,70668,2,2.3823219434650795,0.9917505085468292,40.671625174582005,0.14731805590531352
1697657484,1,,Aggregated,422.300000,417.700000,2,2,2,2,3,4,6,8,30,33,41,71894,71084,2,2.3819249079213196,0.9917505085468292,40.671625174582005,0.14646562995521184
1697657485,1,,Aggregated,421.700000,417.200000,2,2,2,2,3,4,6,8,30,33,41,72317,71507,2,2.3813404770984525,0.9917505085468292,40.671625174582005,0.14560891629907213
1697657486,1,,Aggregated,421.600000,417.100000,2,2,2,2,3,4,6,8,30,33,41,72734,71893,2,2.3809535009841545,0.9917505085468292,40.671625174582005,0.1503148458767564
1697657487,1,,Aggregated,423.000000,418.500000,2,2,2,2,3,4,6,8,29,33,41,73171,72316,2,2.3798764563293635,0.9917505085468292,40.671625174582005,0.15190444301704228
1697657488,1,,Aggregated,421.400000,416.900000,2,2,2,2,3,4,6,8,30,33,41,73575,72720,2,2.3798960786676107,0.9917505085468292,40.671625174582005,0.1510703363914373
1697657489,1,,Aggregated,422.000000,417.500000,2,2,2,2,3,4,6,8,30,33,41,73999,73144,2,2.379287389426484,0.9917505085468292,40.671625174582005,0.15020473249638508
1697657490,1,,Aggregated,420.800000,416.300000,2,2,2,2,3,4,6,8,30,33,41,74415,73560,2,2.3789070664270424,0.9917505085468292,40.671625174582005,0.14936504736948195
1697657491,1,,Aggregated,420.500000,416.000000,2,2,2,2,3,4,6,8,30,33,41,74850,73995,2,2.378008747952396,0.9917505085468292,40.671625174582005,0.14849699398797594
1697657492,1,,Aggregated,421.500000,417.000000,2,2,2,2,3,4,6,8,30,33,41,75270,74415,2,2.3774987676602697,0.9917505085468292,40.671625174582005,0.14766839378238342
1697657493,1,,Aggregated,421.200000,416.700000,2,2,2,2,3,4,6,8,30,33,41,75696,74841,2,2.376869345119562,0.9917505085468292,40.671625174582005,0.14683734939759036
1697657494,1,,Aggregated,421.500000,417.100000,2,2,2,2,3,4,6,8,29,33,41,76076,75221,2,2.3776208054417505,0.9917505085468292,40.671625174582005,0.1461038961038961
1697657495,1,,Aggregated,421.100000,416.600000,2,2,2,2,3,4,6,8,30,33,41,76419,75564,2,2.379471106483077,0.9917505085468292,40.671625174582005,0.1454481215404546
1697657496,1,,Aggregated,420.600000,416.100000,2,2,2,2,3,4,6,8,30,33,41,76783,75895,2,2.3806263742491978,0.9917505085468292,40.671625174582005,0.15034577966476956
1697657497,1,,Aggregated,413.400000,408.900000,2,2,2,2,3,4,6,8,29,33,41,77182,76282,2,2.380741268904332,0.9917505085468292,40.671625174582005,0.15158974890518515
1697657498,1,,Aggregated,407.300000,402.800000,2,2,2,2,3,4,6,8,30,33,41,77545,76645,2,2.3819221998782583,0.9917505085468292,40.671625174582005,0.15088013411567477
1697657499,1,,Aggregated,402.600000,398.100000,2,2,2,2,3,4,6,8,30,33,41,77915,77015,2,2.382934932185617,0.9917505085468292,40.671625174582005,0.1501636398639543
1697657500,1,,Aggregated,398.900000,394.400000,2,2,2,2,3,4,6,8,29,33,41,78255,77355,2,2.3847658125265103,0.9917505085468292,40.671625174582005,0.14951121334100057
1697657501,1,,Aggregated,394.400000,389.900000,2,2,2,2,3,4,6,8,30,33,41,78638,77738,2,2.385378683111392,0.9917505085468292,40.671625174582005,0.14878303110455504
1697657502,1,,Aggregated,387.000000,382.500000,2,2,2,2,3,4,6,8,29,33,41,79061,78161,2,2.3847973195335093,0.9917505085468292,40.671625174582005,0.14798699738176851
1697657503,1,,Aggregated,379.800000,375.300000,2,2,2,2,3,4,6,8,30,33,41,79490,78590,2,2.3840482407872226,0.9917505085468292,40.671625174582005,0.1471883255755441
1697657504,1,,Aggregated,378.600000,374.100000,2,2,2,2,3,4,6,8,30,33,41,79911,79011,2,2.3835386372524137,0.9917505085468292,40.671625174582005,0.14641288433382138
1697657505,1,,Aggregated,380.100000,375.600000,2,2,2,2,3,4,6,8,29,33,41,80330,79430,2,2.3830930203858838,0.9917505085468292,40.671625174582005,0.14564919706211876
1697657506,1,,Aggregated,380.200000,375.700000,2,2,2,2,3,4,6,8,30,33,41,80752,79818,2,2.382600035753499,0.9917505085468292,40.671625174582005,0.15036160095106005
1697657507,1,,Aggregated,385.000000,380.500000,2,2,2,2,3,4,6,8,29,33,41,81160,80215,2,2.382453736431893,0.9917505085468292,40.671625174582005,0.15136766880236568
1697657508,1,,Aggregated,392.900000,388.400000,2,2,2,2,3,4,6,8,30,33,41,81523,80578,2,2.3835697118504786,0.9917505085468292,40.671625174582005,0.1506936692712486
1697657509,1,,Aggregated,396.900000,392.400000,2,2,2,2,3,4,6,8,30,33,41,81894,80949,2,2.3844828322419893,0.9917505085468292,40.671625174582005,0.15001098981610375
1697657510,1,,Aggregated,398.000000,393.500000,2,2,2,2,3,4,6,8,29,33,41,82250,81305,2,2.385770702876128,0.9917505085468292,40.671625174582005,0.14936170212765956
1697657511,1,,Aggregated,398.200000,393.700000,2,2,2,2,3,4,6,8,30,33,41,82609,81664,2,2.387026871763312,0.9917505085468292,40.671625174582005,0.14871261000617367
1697657512,1,,Aggregated,397.100000,392.600000,2,2,2,2,3,4,6,8,30,33,41,82979,82034,2,2.387913915462276,0.9917505085468292,40.671625174582005,0.148049506501645
1697657513,1,,Aggregated,398.300000,393.800000,2,2,2,2,3,4,6,8,29,33,41,83422,82477,2,2.3867592208794974,0.9917505085468292,40.671625174582005,0.14726331183620628
1697657514,1,,Aggregated,393.200000,388.700000,2,2,2,2,3,4,6,8,30,33,41,83810,82865,2,2.3872208712421834,0.9917505085468292,40.671625174582005,0.14658155351390048
1697657515,1,,Aggregated,389.900000,385.400000,2,2,2,2,3,4,6,8,29,33,41,84218,83273,2,2.3871293884316462,0.9917505085468292,40.671625174582005,0.14587142891068416
1697657516,1,,Aggregated,390.700000,386.200000,2,2,2,2,3,4,6,8,30,33,41,84653,83671,2,2.386266837926095,0.9917505085468292,40.671625174582005,0.15080386991601005
1697657517,1,,Aggregated,390.400000,385.900000,2,2,2,2,3,4,6,8,29,33,41,85074,84084,2,2.3857969337154366,0.9917505085468292,40.671625174582005,0.15128006206361522
1697657518,1,,Aggregated,390.000000,385.500000,2,2,2,2,3,4,6,8,29,33,41,85517,84527,2,2.384668495809893,0.9917505085468292,40.671625174582005,0.15049639253014022
1697657519,1,,Aggregated,390.400000,385.900000,2,2,2,2,3,4,6,8,30,33,41,85918,84928,2,2.3847587626507107,0.9917505085468292,40.671625174582005,0.14979398961800786
1697657520,1,,Aggregated,394.100000,389.600000,2,2,2,2,3,4,6,8,29,33,41,86322,85332,2,2.384773870373237,0.9917505085468292,40.671625174582005,0.14909293111837074
1697657521,1,,Aggregated,399.500000,395.000000,2,2,2,2,3,4,6,8,30,33,41,86720,85730,2,2.384920178086074,0.9917505085468292,40.671625174582005,0.14840867158671586
1697657522,1,,Aggregated,404.500000,400.000000,2,2,2,2,3,4,6,8,30,33,41,87103,86113,2,2.385493792743512,0.9917505085468292,40.671625174582005,0.14775610484139468
1697657523,1,,Aggregated,410.800000,406.300000,2,2,2,2,3,4,6,8,30,33,41,87535,86545,2,2.3847067110806903,0.9917505085468292,40.671625174582005,0.14702690352430456
1697657524,1,,Aggregated,410.600000,406.100000,2,2,2,2,3,4,6,8,30,33,41,87939,86949,2,2.3846990677329902,0.9917505085468292,40.671625174582005,0.14635144816293114
1697657525,1,,Aggregated,411.900000,407.400000,2,2,2,2,3,4,6,8,30,33,41,88362,87372,2,2.3841729087212955,0.9917505085468292,40.671625174582005,0.14565084538602566
1697657526,1,,Aggregated,411.300000,406.800000,2,2,2,2,3,4,6,8,30,33,41,88799,87770,2,2.3833004925611667,0.9917505085468292,40.671625174582005,0.1506435883286974
1697657527,1,,Aggregated,412.400000,407.900000,2,2,2,2,3,4,6,8,30,33,41,89209,88174,2,2.383147574169683,0.9917505085468292,40.671625174582005,0.1508255893463664
1697657528,1,,Aggregated,413.800000,409.300000,2,2,2,2,3,4,6,8,30,33,41,89657,88622,2,2.3818873552935442,0.9917505085468292,40.671625174582005,0.15007194084120593
1697657529,1,,Aggregated,414.000000,409.500000,2,2,2,2,3,4,6,8,30,33,41,90061,89026,2,2.3819605677929787,0.9917505085468292,40.671625174582005,0.14939874085342156
1697657530,1,,Aggregated,413.600000,409.100000,2,2,2,2,3,4,6,8,30,33,41,90480,89445,2,2.3815803104644324,0.9917505085468292,40.671625174582005,0.14870689655172414
1697657531,1,,Aggregated,413.400000,408.900000,2,2,2,2,3,4,6,8,30,33,41,90907,89872,2,2.3809966404731764,0.9917505085468292,40.671625174582005,0.14800840419329644
1697657532,1,,Aggregated,413.900000,409.400000,2,2,2,2,3,4,6,8,30,33,41,91322,90287,2,2.3807005989546095,0.9917505085468292,40.671625174582005,0.1473358007927991
1697657533,1,,Aggregated,415.900000,411.400000,2,2,2,2,3,4,6,8,30,33,41,91758,90723,2,2.379898934945477,0.9917505085468292,40.671625174582005,0.14663571568691558
